20; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 100
21; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
22; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
23; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 90
24; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 115
25; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
26; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 100
27; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 205
28; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 95
29; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 90
30; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 100

1; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
2; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
3; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 365
4; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
5; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 205
6; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
