6; [inimigo3, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 300)]; [inimigo1, (200, -50)]; 155
7; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (100, 800)]; [inimigos, (-100, 300)]; 175
8; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo3, (200, -50)]; [inimigo5, (200, -50)]; 135
9; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo4, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; 200
10; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo3, (-100, 600)]; [inimigo3, (200, -50)]; 200
11; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo1, (100, 800)]; [inimigo3, (200, -50)]; 125
12; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo3, (1350, 800)]; [inimigo3, (200, -50)]; 200
13; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
14; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
15; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 140
16; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo4, (200, -50)]; [inimigo3, (100, 800)]; [inimigo2, (200, -50)]; 170
17; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; 120
18; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; 180
19; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; 180
20; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; 240
21; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; 240
22; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; 180
23; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; 240
24; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; 240
25; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; [inimigo3, (200, -50)]; [inimigo3, (100, 800)]; [inimigo3, (100, 800)]; 240
